p,i,d
p,i,d
p,i,d
p,i,d
p,i,d
p,i,d
p,i,d
p,i,d
p,i,d
p,i,d
p,i,d
p,i,d
p,i,d
p,i,d
p,i,d
p,i,d
p,i,d
p,i,d
p,i,d
p,i,d
p,i,d
p,i,d
p,i,d
p,i,d
p,i,d
p,i,d
p,i,d
p,i,d
p,i,d
p,i,d
p,i,d
p,i,d
p,i,d
p,i,d
p,i,d
p,i,d
21:34:30,0.0,0.0,0.0
21:34:30,0.0,0.0,0.0
21:34:30,0.0,0.0,0.0
21:34:30,0.0,0.0,0.0
21:34:30,0.0,0.0,0.0
21:34:30,0.0,0.0,0.0
21:34:30,0.0,0.0,0.0
21:34:30,0.0,0.0,0.0
21:34:30,0.0,0.0,0.0
21:34:30,0.0,0.0,0.0
21:34:31,0.0,0.0,0.0
21:34:31,0.0,0.0,0.0
21:34:31,0.0,0.0,0.0
21:34:31,0.0,0.0,0.0
21:34:31,0.0,0.0,0.0
21:34:31,0.0,0.0,0.0
21:34:31,0.0,0.0,0.0
21:34:31,0.0,0.0,0.0
21:34:31,0.0,0.0,0.0
21:34:32,0.0,0.0,0.0
21:34:32,0.0,0.0,0.0
21:34:32,0.0,0.0,0.0
21:34:32,0.0,0.0,0.0
21:34:32,0.0,0.0,0.0
21:34:32,0.0,0.0,0.0
21:34:32,0.0,0.0,0.0
21:34:32,0.0,0.0,0.0
21:34:32,0.0,0.0,0.0
21:34:33,0.0,0.0,0.0
21:34:33,0.0,0.0,0.0
21:34:33,0.0,0.0,0.0
21:34:33,0.0,0.0,0.0
21:34:33,0.0,0.0,0.0
21:34:33,0.0,0.0,0.0
21:34:33,0.0,0.0,0.0
21:34:33,0.0,0.0,0.0
21:34:33,0.0,0.0,0.0
21:34:34,0.0,0.0,0.0
21:34:34,0.0,0.0,0.0
21:34:34,0.0,0.0,0.0
21:34:34,0.0,0.0,0.0
21:34:34,0.0,0.0,0.0
21:34:34,0.0,0.0,0.0
21:34:34,0.0,0.0,0.0
21:34:34,0.0,0.0,0.0
21:34:34,0.0,0.0,0.0
21:34:35,0.0,0.0,0.0
21:34:35,0.0,0.0,0.0
21:34:35,0.0,0.0,0.0
21:34:35,0.0,0.0,0.0
21:34:35,0.0,0.0,0.0
21:34:35,0.0,0.0,0.0
21:34:35,0.0,0.0,0.0
21:34:35,0.0,0.0,0.0
21:34:35,0.0,0.0,0.0
21:34:36,0.0,0.0,0.0
21:34:36,0.0,0.0,0.0
21:34:36,0.0,0.0,0.0
21:34:36,0.0,0.0,0.0
21:34:36,0.0,0.0,0.0
21:34:36,0.0,0.0,0.0
21:34:36,0.0,0.0,0.0
21:34:36,0.0,0.0,0.0
21:34:36,0.0,0.0,0.0
21:34:37,0.0,0.0,0.0
21:34:37,0.0,0.0,0.0
21:34:37,0.0,0.0,0.0
21:34:37,0.0,0.0,0.0
21:34:37,0.0,0.0,0.0
21:34:37,0.0,0.0,0.0
21:34:37,0.0,0.0,0.0
21:34:37,0.0,0.0,0.0
21:34:37,0.0,0.0,0.0
21:34:37,0.0,0.0,0.0
21:34:38,0.0,0.0,0.0
21:34:38,0.0,0.0,0.0
21:34:38,0.0,0.0,0.0
21:34:38,0.0,0.0,0.0
21:34:38,0.0,0.0,0.0
21:34:38,0.0,0.0,0.0
21:34:38,0.0,0.0,0.0
21:34:38,0.0,0.0,0.0
21:34:38,0.0,0.0,0.0
21:34:39,0.0,0.0,0.0
21:34:39,0.0,0.0,0.0
21:34:39,0.0,0.0,0.0
21:34:39,0.0,0.0,0.0
21:34:39,0.0,0.0,0.0
21:34:39,0.0,0.0,0.0
21:34:39,0.0,0.0,0.0
21:34:39,0.0,0.0,0.0
21:34:39,0.0,0.0,0.0
21:34:40,0.0,0.0,0.0
21:34:40,0.0,0.0,0.0
21:34:40,0.0,0.0,0.0
21:34:40,0.0,0.0,0.0
21:34:40,0.0,0.0,0.0
21:34:40,0.0,0.0,0.0
21:34:40,0.0,0.0,0.0
21:34:40,0.0,0.0,0.0
21:34:40,0.0,0.0,0.0
21:34:41,0.0,0.0,0.0
21:34:41,0.0,0.0,0.0
21:34:41,0.0,0.0,0.0
21:34:41,0.0,0.0,0.0
21:34:41,0.0,0.0,0.0
21:34:41,0.0,0.0,0.0
21:34:41,0.0,0.0,0.0
21:34:41,0.0,0.0,0.0
21:34:41,0.0,0.0,0.0
21:34:42,0.0,0.0,0.0
21:34:42,0.0,0.0,0.0
21:34:42,0.0,0.0,0.0
21:34:42,0.0,0.0,0.0
21:34:42,0.0,0.0,0.0
21:34:42,0.0,0.0,0.0
21:34:42,0.0,0.0,0.0
21:34:42,0.0,0.0,0.0
21:34:42,0.0,0.0,0.0
21:34:43,0.0,0.0,0.0
21:34:43,0.0,0.0,0.0
21:34:43,0.0,0.0,0.0
21:34:43,0.0,0.0,0.0
21:34:43,0.0,0.0,0.0
21:34:43,0.0,0.0,0.0
21:34:43,0.0,0.0,0.0
21:34:43,0.0,0.0,0.0
21:34:43,0.0,0.0,0.0
21:34:43,0.0,0.0,0.0
21:34:44,0.0,0.0,0.0
21:34:44,0.0,0.0,0.0
21:34:44,0.0,0.0,0.0
21:34:44,0.0,0.0,0.0
